區別,里別,活動中心名稱,地址,經度,緯度
新營區,角帶里,角帶里活動中心,臺南市新營區角帶里5鄰角帶圍65-1號,23.2808886,120.2656955
新營區,姑爺里,姑爺里活動中心,臺南市新營區姑爺里姑爺22-1號,23.26838,120.261354
新營區,南紙里,南紙里活動中心,臺南市新營區南紙里10鄰南紙街80號,23.2993867,120.2943125
新營區,埤寮里,埤寮里活動中心,臺南市新營區埤寮里5鄰埤寮12-1號,23.3296986,120.3175389
新營區,五興里,五興里活動中心,臺南市新營區五興里五間厝114-1號,23.275487,120.272219
新營區,新東里,新東里活動中心,臺南市新營區新東里10鄰東仁街10巷39號,23.3178632,120.3281756
鹽水區,水秀里,水秀里活動中心,臺南市鹽水區水秀里土庫35-1號,23.3227041,120.2773919
鹽水區,孫厝里,孫厝里活動中心,臺南市鹽水區孫厝里孫厝寮76-1號,23.293285,120.222356
鹽水區,舊營里,舊營里活動中心,臺南市鹽水區舊營里6鄰36號,23.2982122,120.2599266
鹽水區,桐寮里,桐寮里活動中心,臺南市鹽水區桐寮里6鄰44號,23.289311,120.256629
鹽水區,田寮里,田寮里活動中心,臺南市鹽水區田寮里田寮45號,23.277888,120.228523
鹽水區,飯店里,飯店里活動中心,臺南市鹽水區飯店里5鄰18號,23.2704051,120.2137665
鹽水區,下林里,蜈蜞坑活動中心,臺南市鹽水區下林里蜈蜞坑22號,23.2622812,120.2446047
鹽水區,南港里,河南里活動中心,臺南市鹽水區南港里?頭港143-2號,23.2580563,120.2471805
鹽水區,歡雅里,歡雅里活動中心,臺南市鹽水區歡雅里下寮13-1號,23.2771778,120.2417964
鹽水區,歡雅里,歡雅里活動中心-尾寮,臺南市鹽水區歡雅11鄰尾寮17號之一,23.293524,120.242667
鹽水區,水仙里,水仙里活動中心,臺南市鹽水區水仙里5鄰中山路3巷15-1號,23.3187577,120.2670423
白河區,白河里,白河里活動中心,臺南市白河區白河里康樂路2-18號,23.3468919,120.4160046
白河區,秀祐里,秀祐里中山堂,臺南市白河區秀祐里2鄰頂秀祐30-1號,23.3532371,120.4036641
白河區,崁頭里,崁頭里中山堂,臺南市白河區崁頭里2鄰崁子頭19號,23.3315441,120.4331467
白河區,大林里,大林里中山堂,臺南市白河區大林里2鄰檨子林20之12號,23.3369326,120.4559258
白河區,玉豐里,玉豐里中山堂,臺南市白河區玉豐里10鄰海豐厝86號,23.3799781,120.415544
白河區,詔安里,詔安里中山堂,臺南市白河區詔安里7鄰詔安厝77號,23.392933,120.411852
白河區,廣安里,廣安里中山堂,臺南市白河區廣安里枋子林43之1號,23.389917,120.402766
