編號,公園名稱,里別,面積,類別,座落位置,使用分區,所在轄區,X座標,Y座標
1,黃昭堂公園,龍山里,1.22,鄰里公園,南31線下山漁港,區公所,七股區,120.113651,23.136122
2,下營公園(公兒1),後街里,0.98,鄰里公園,東興二街與水池街口,區公所,下營區,120.261805,23.239572
3,公二武承恩公園,仁里里,2.2025,區域公園,下營都市計畫區市中心,大型,下營區,120.260788,23.233328
4,公四,仁里里與宅內里,0.03,鄰里公園,永安街與蚵寮街內,區公所,下營區,120.258209,23.233551
5,西拉雅親子公園(非都已公告),頭社里,7.7,區域公園,台84線頭社交流道旁,大型,大內區,120.37344,23.140292
6,山上花園水道博物館-淨水池區,山上里,12.27,區域公園,台南市山上區新庄59之18號,大型,農業局,120.358036,23.089212
7,山上花園水道博物館-博物館區,山上里,36,區域公園,山上區南184與178甲路口,區公所,農業局,120.360285,23.096914
8,公兒2,山上里,0.21,鄰里公園,山上里與178東側,區公所,山上區,120.356981,23.099813
9,二府口公園(公71),南美里,0.1326,鄰里公園,友愛市場後,區公所,中西區,120.199332,22.991142
10,小西門圓環(綠2附),小西里,1.08,區域公園,西門路一段與府前路二段,大型,中西區,120.197861,22.990278
11,公C1中西區入口意象公園,大涼里,0.15,鄰里公園,民生路二段尾南側,區公所,中西區,120.186923,22.997707
12,民生里公63,民生里,0.091,鄰里公園,南華街巷內(武英街71號旁),區公所,中西區,120.191111,22.988778
13,光賢公園(公兒12),光賢里,0.43,鄰里公園,武聖路151巷50弄,區公所,中西區,120.189167,23.005278
14,西門圓環(綠3),天后里,0.84,區域公園,西門路與民族路,鄰里,中西區,120.200139,22.9975
15,西湖公園(公兒15),西湖里,0.84,鄰里公園,民權路四段頂美一街,區公所,中西區,120.183889,22.999167
16,西賢公園(公兒C7)(公兒18),西賢里,0.4,鄰里公園,西賢一街109巷,區公所,中西區,120.177501,23.002167
17,協和公園(公35),兌悅里,0.32,鄰里公園,民族路三段258號後面,區公所,中西區,120.193611,23.000556
18,和意公園,小西里,0.8868,鄰里公園,和意路(錢櫃對面),區公所,中西區,120.199173,22.988629
19,南門公園(公8),大南里,1.33,區域公園,南門路與樹林街,大型,中西區,120.204167,22.986111
20,烏橋公園(兒公5),大涼里,0.54,鄰里公園,府前路二段370號,區公所,中西區,120.188056,22.9925
21,烏橋運河西岸公園(公C2),大涼里,0.12,區域公園,府前路二段239號旁巷內,鄰里,中西區,120.191807,22.992778
22,頂美公園(公兒14),西湖里,0.64,鄰里公園,頂美三街230號前西側,區公所,中西區,120.185833,23.004722
23,頂湖公園(頂美段公兒C5),西湖里,0.53,鄰里公園,湖美一街143號旁,區公所,中西區,120.181278,23.004139
24,湖美公園(公兒17),西湖里,0.4271,鄰里公園,湖美一街42巷北側,區公所,中西區,120.181389,23.001222
25,湖美麗景公園(公38),西湖里,0.2087,鄰里公園,湖美二街100巷尾(湖美社區內),區公所,中西區,120.182917,23.002972
26,湯德章紀念公園(綠1),永華里,0.5,區域公園,民生路與中山路圓環,鄰里,中西區,120.205,22.992667
27,開山公園,開山里,0.2215,鄰里公園,府前路一段巷子內,區公所,中西區,120.209371,22.988047
28,運河星鑽自然生態公園,大涼里,1.83,區域公園,府前路二段258巷底,大型,中西區,120.19,22.995194
